Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23281872,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""0143127535""","=""9780143127536""",4,3.96,Penguin Books,Paperback,480,2015,2014,2022/08/21,2022/08/09,mathematics,mathematics (#6),read,,,,1,0
550840,"The Age of Revolution, 1789–1848",Eric J. Hobsbawm,"Hobsbawm, Eric J.",,"=""0679772537""","=""9780679772538""",0,4.21,Vintage,Paperback,356,1996,1962,,2022/08/15,to-read,to-read (#26),to-read,,,,0,0
615162,Peterson First Guide To Reptiles And Amphibians,Roger Conant,"Conant, Roger","Joseph T. Collins, Robert C. Stebbins, Roger Tory Peterson","=""0395971950""","=""9780395971956""",5,4.10,Mariner Books,Paperback,128,1999,1992,,2022/08/15,"science, biology","science (#30), biology (#3)",read,,,,2,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",5,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2022/08/13,"classics, young-adult-fiction","classics (#20), young-adult-fiction (#73)",read,,,,1,0
85092,How to Reassess Your Chess: The Complete Chess Mastery Course,Jeremy Silman,"Silman, Jeremy",,"=""1890085006""","=""9781890085001""",4,4.34,Siles Pr,Paperback,402,1993,,2022/08/12,2022/06/11,chess,chess (#1),read,,,,1,0
13207026,Fundamental Concepts of Abstract Algebra (Dover Books on Mathematics),Gertrude Ehrlich,"Ehrlich, Gertrude",,"=""0486485897""","=""9780486485898""",4,3.60,Dover Publications,Paperback,352,2011,1991,2022/08/09,2022/06/05,mathematics,mathematics (#5),read,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",5,3.43,Green Integer,Paperback,188,2003,1899,2022/08/09,2022/07/24,"classics, literature, history","classics (#19), literature (#4), history (#7)",read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2022/08/08,to-read,to-read (#25),to-read,,,,0,0
18774981,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"Harris, Sam",,"=""1451636016""","=""9781451636017""",0,3.90,Simon  Schuster,Hardcover,256,2014,2014,,2022/07/25,to-read,to-read (#24),to-read,,,,0,0
450635,Four Colors Suffice: How the Map Problem Was Solved,Robin J. Wilson,"Wilson, Robin J.",,"=""0691120234""","=""9780691120232""",4,3.73,Princeton University Press,Paperback,280,2004,2002,2022/07/24,2022/07/17,mathematics,mathematics (#4),read,,,,1,0
10884,Einstein: His Life and Universe,Walter Isaacson,"Isaacson, Walter",,"=""0743264738""","=""9780743264730""",5,4.16,Simon & Schuster,Hardcover,675,2007,2007,2022/07/17,2019/12/10,"science, biography, history","science (#7), biography (#1), history (#6)",read,,,,1,0
13050305,A Computational Perspective on Visual Attention,John K. Tsotsos,"Tsotsos, John K.",,"=""0262015412""","=""9780262015417""",4,4.20,MIT Press,Hardcover,308,2011,2011,2022/07/15,2022/06/23,"psychology, science, computer-science","psychology (#2), science (#29), computer-science (#12)",read,,,,1,0
30231749,The Gulf: The Making of An American Sea,Jack Emerson Davis,"Davis, Jack Emerson",,"=""087140866X""","=""9780871408662""",0,4.21,Liveright,Hardcover,608,2017,2017,,2022/06/25,to-read,to-read (#23),to-read,,,,0,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles","Joe L. Wheeler, John Leech","=""1561797464""","=""9781561797462""",5,4.07,Bethany House Publishers ,Paperback,104,1999,1843,2022/06/23,2022/06/20,"classics, literature","classics (#18), literature (#1)",read,,,,1,0
42254815,Cottagers and Indians,Drew Hayden Taylor,"Taylor, Drew Hayden",,"=""1772012300""","=""9781772012309""",2,3.95,Talonbooks,Paperback,96,2019,2019,2021/10/28,2021/10/31,,,read,,,,2,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.24,Avon,Mass Market Paperback,1152,2002,1999,2018/05/18,2018/03/18,"favorites, science-fiction","favorites (#15), science-fiction (#29)",read,,,,1,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",5,4.21,Bantam Books,Paperback,226,1998,1988,,2018/06/13,science,science (#28),read,,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",5,4.25,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,2018/11/09,2018/10/27,"science-fiction, favorites","science-fiction (#2), favorites (#14)",read,,,,1,0
15923739,The Fellowship of the Ring,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0007488319""","=""9780007488315""",5,4.38,HarperCollins,Paperback,412,2012,1954,2020/03/20,2020/03/16,"classics, fantasy, favorites","classics (#1), fantasy (#1), favorites (#13)",read,,,,1,0
108986,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","=""0262032937""","=""9780262032933""",5,4.34,The MIT Press,Hardcover,1184,2001,,2021/01/06,2021/04/06,"computer-science, science, favorites","computer-science (#8), science (#24), favorites (#12)",read,,,,1,0
8492907,Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,Michio Kaku,"Kaku, Michio",,"=""0385530803""","=""9780385530804""",5,4.00,Doubleday,Hardcover,416,2011,2011,2021/04/06,2021/03/20,science,science (#15),read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank, Fyodor Dostoevsky","=""0143058142""","=""9780143058144""",5,4.26,Penguin,Paperback,671,2002,1866,2021/08/15,2021/06/12,"classics, literature, favorites","classics (#9), literature (#3), favorites (#11)",read,,,,1,0
35820369,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,"Brusatte, Stephen",,"=""0062490427""","=""9780062490421""",5,4.19,William Morrow,Hardcover,404,2018,2018,2022/03/22,2021/03/06,"science, favorites","science (#17), favorites (#10)",read,,,,1,0
