,_key,RT,SwitchProbability,TLoc,Ttype,blockReport,condition,counter,ctr,cuestr,error,experiment,initials,maskFlag,message,orientation,prevType,rep,response,setSize,switchFlag,yn
3150,-MfaChTo9yz24azl-WlW,3846,0.5,7,smallsharpT,experiment,3,135,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,2,,12,0,1
3151,-MfaCimneSJXh2wfeuVg,2348,0.5,1,smallsharpT,experiment,3,136,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,3,,6,0,1
3152,-MfaCjkei8qYxe1xKECi,1948,0.5,3,smallsharpT,experiment,3,137,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,4,,6,0,1
3153,-MfaCkyhyJpCmHVDS_qB,1984,0.5,4,smallsharpT,experiment,3,138,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smallsharpT,5,,6,0,1
3154,-MfaCmAxnYK899whwSD4,2929,0.5,9,smalldotT,experiment,3,139,0,,1,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,18,1,1
3155,-MfaCnSB4LL5JpEYgGz1,3192,0.5,10,smalldotT,experiment,3,140,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,2,,18,0,1
3156,-MfaCon_qOppCMEvul3J,2513,0.5,5,smallsharpT,experiment,3,141,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
3157,-MfaCq3IryqfukxW9gkF,3149,0.5,5,smalldotT,experiment,3,142,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smallsharpT,1,,6,1,1
3158,-MfaCrMoxFn9CNJPpiMJ,2318,0.5,5,smalldotT,experiment,3,143,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,2,,18,0,1
3159,-MfaCtIBF0Kbd6iskiJq,5883,0.5,7,smalldotT,experiment,3,144,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowRight,smalldotT,3,,18,0,1
3160,-MfaCulkv6c9PlLIPC-H,3045,0.5,5,smallsharpT,experiment,3,145,0,,0,smallSharp_and_smallDot,A1CH3TODZNQCES,0,,ArrowLeft,smalldotT,1,,6,1,1
